Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Tom Aaron,,,155.0,,,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,The Assassin,5.92,155.0,,Orthodox,4,6,0,0,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,,5.67,155.0,,,27,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/59a9d6dac61c2540
David Abbott,Tank,6.0,265.0,,Switch,10,15,0,0,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,The Hammer,6.17,261.0,,,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3329d692aea4dc28
Shamil Abdurakhimov,Abrek,6.25,235.0,76.0,Orthodox,20,7,0,0,2.6,0.44,2.8,0.58,1.09,0.23,0.47,0.2,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,Abe Ani,5.5,145.0,,Orthodox,8,15,3,0,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,,5.92,170.0,71.0,Orthodox,6,2,0,0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,Makambo,5.92,185.0,,Southpaw,10,4,0,0,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,Demente,5.92,185.0,,Orthodox,5,1,0,0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,White Bear,6.0,205.0,74.0,Orthodox,15,4,0,0,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,http://ufcstats.com/fighter-details/7279654c7674cd24
Daniel Acacio,,5.67,180.0,,Orthodox,30,18,0,0,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,http://ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,The Outlaw,5.75,170.0,75.0,Orthodox,6,2,0,0,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,,6.0,225.0,,Southpaw,8,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,The Kraken,6.42,265.0,80.0,Orthodox,5,3,0,0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,http://ufcstats.com/fighter-details/83b00f7597e5ac83
