First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,Link,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tom,Aaron,,--,155 lbs.,--,,5,3,0,0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,3.29,38%,4.41,57%,0.00,0.00,0%,77%,0.0
Nariman,Abbasov,,"5' 8""",155 lbs.,--,,27,3,0,0,http://ufcstats.com/fighter-details/59a9d6dac61c2540,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,0,http://ufcstats.com/fighter-details/b361180739bed4b0,1.35,30%,3.55,38%,1.07,1.07,33%,66%,0.0
Hamdy,Abdelwahab,The Hammer,"6' 2""",261 lbs.,--,,5,0,0,0,http://ufcstats.com/fighter-details/3329d692aea4dc28,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,7,0,0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,2.60,44%,2.80,58%,1.09,1.09,23%,47%,0.2
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,http://ufcstats.com/fighter-details/c0ed7b208197e8de,1.71,36%,3.11,63%,0.00,0.00,0%,33%,0.0
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,http://ufcstats.com/fighter-details/5140122c3eecd307,3.80,33%,4.49,56%,0.33,0.33,50%,0%,0.0
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,http://ufcstats.com/fighter-details/c9f6385af6df66d7,2.80,55%,3.15,48%,3.47,3.47,57%,50%,1.3
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,3.79,31%,3.98,68%,2.13,2.13,42%,100%,0.7
