R_Fighter,R_KD,R_Sub. att,R_Rev.,R_Ctrl,B_Fighter,B_KD,B_Sub. att,B_Rev.,B_Ctrl,Winner,Division,Title_Bout,Event,Method,Round,Time,Date,Location,R_Sig. str._Landed,R_Sig. str._Attempted,R_Total str._Landed,R_Total str._Attempted,R_Td_Landed,R_Td_Attempted,R_Head_Landed,R_Head_Attempted,R_Body_Landed,R_Body_Attempted,R_Leg_Landed,R_Leg_Attempted,R_Distance_Landed,R_Distance_Attempted,R_Clinch_Landed,R_Clinch_Attempted,R_Ground_Landed,R_Ground_Attempted,B_Sig. str._Landed,B_Sig. str._Attempted,B_Total str._Landed,B_Total str._Attempted,B_Td_Landed,B_Td_Attempted,B_Head_Landed,B_Head_Attempted,B_Body_Landed,B_Body_Attempted,B_Leg_Landed,B_Leg_Attempted,B_Distance_Landed,B_Distance_Attempted,B_Clinch_Landed,B_Clinch_Attempted,B_Ground_Landed,B_Ground_Attempted
Brian Ortega,0,0,0,2.4,Yair Rodriguez,0,0,0,0.0,Blue,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,4:11,2022-07-16,"Elmont, New York, USA",22.0,35.0,26.0,39.0,1.0,5.0,18.0,30.0,3.0,3.0,1.0,2.0,15.0,27.0,7.0,8.0,0.0,0.0,23.0,46.0,48.0,76.0,0.0,0.0,18.0,41.0,0.0,0.0,5.0,5.0,21.0,44.0,1.0,1.0,1.0,1.0
Michelle Waterson-Gomez,0,0,0,1.13,Amanda Lemos,0,1,1,0.08,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,1:48,2022-07-16,"Elmont, New York, USA",29.0,56.0,35.0,62.0,1.0,2.0,7.0,24.0,7.0,10.0,15.0,22.0,27.0,54.0,0.0,0.0,2.0,2.0,20.0,35.0,20.0,35.0,0.0,0.0,11.0,23.0,3.0,5.0,6.0,7.0,20.0,35.0,0.0,0.0,0.0,0.0
Li Jingliang,1,0,0,0.5,Muslim Salikhov,0,0,0,1.17,Red,Welterweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,4:38,2022-07-16,"Elmont, New York, USA",38.0,87.0,40.0,91.0,1.0,2.0,13.0,49.0,12.0,18.0,13.0,20.0,30.0,75.0,6.0,8.0,2.0,4.0,23.0,56.0,33.0,67.0,1.0,4.0,18.0,48.0,3.0,6.0,2.0,2.0,20.0,51.0,0.0,1.0,3.0,4.0
Matt Schnell,0,2,1,2.67,Sumudaerji,1,0,2,2.22,Red,Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,4:24,2022-07-16,"Elmont, New York, USA",47.0,81.0,79.0,120.0,2.0,3.0,36.0,70.0,5.0,5.0,6.0,6.0,16.0,40.0,9.0,12.0,22.0,29.0,58.0,83.0,67.0,92.0,0.0,0.0,37.0,61.0,10.0,11.0,11.0,11.0,35.0,53.0,13.0,19.0,10.0,11.0
Shane Burgos,0,3,0,6.42,Charles Jourdain,0,0,0,2.13,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Majority,3,5:00,2022-07-16,"Elmont, New York, USA",42.0,80.0,67.0,116.0,2.0,7.0,16.0,47.0,6.0,12.0,20.0,21.0,28.0,61.0,13.0,18.0,1.0,1.0,113.0,188.0,161.0,241.0,0.0,1.0,72.0,145.0,36.0,37.0,5.0,6.0,68.0,133.0,41.0,51.0,4.0,4.0
Lauren Murphy,0,0,0,1.3,Miesha Tate,0,0,0,2.08,Red,Women's Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",102.0,184.0,128.0,211.0,2.0,6.0,77.0,154.0,24.0,29.0,1.0,1.0,68.0,142.0,31.0,39.0,3.0,3.0,85.0,164.0,121.0,201.0,0.0,7.0,61.0,122.0,18.0,34.0,6.0,8.0,67.0,138.0,18.0,26.0,0.0,0.0
Punahele Soriano,1,0,0,0.07,Dalcha Lungiambula,0,0,0,1.65,Red,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,0:28,2022-07-16,"Elmont, New York, USA",17.0,35.0,19.0,37.0,0.0,1.0,8.0,25.0,9.0,10.0,0.0,0.0,9.0,26.0,4.0,5.0,4.0,4.0,11.0,22.0,17.0,28.0,2.0,2.0,6.0,16.0,2.0,3.0,3.0,3.0,9.0,18.0,0.0,2.0,2.0,2.0
Ricky Simon,1,1,0,4.1,Jack Shore,0,0,0,0.22,Red,Bantamweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,3:28,2022-07-16,"Elmont, New York, USA",25.0,38.0,46.0,59.0,2.0,8.0,13.0,25.0,2.0,2.0,10.0,11.0,18.0,30.0,4.0,4.0,3.0,4.0,19.0,44.0,27.0,52.0,0.0,3.0,15.0,40.0,4.0,4.0,0.0,0.0,17.0,42.0,2.0,2.0,0.0,0.0
Bill Algeo,0,0,0,5.43,Herbert Burns,0,2,0,0.53,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,1:50,2022-07-16,"Elmont, New York, USA",28.0,36.0,81.0,104.0,1.0,1.0,21.0,28.0,6.0,7.0,1.0,1.0,2.0,4.0,2.0,2.0,24.0,30.0,10.0,12.0,18.0,25.0,1.0,2.0,6.0,8.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0
Dustin Jacoby,1,0,0,0.0,Da-Un Jung,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,3:13,2022-07-16,"Elmont, New York, USA",14.0,23.0,14.0,23.0,0.0,0.0,6.0,14.0,1.0,2.0,7.0,7.0,14.0,23.0,0.0,0.0,0.0,0.0,14.0,39.0,14.0,39.0,0.0,0.0,6.0,26.0,1.0,4.0,7.0,9.0,14.0,39.0,0.0,0.0,0.0,0.0
Dwight Grant,0,0,0,0.0,Dustin Stoltzfus,0,0,0,4.28,Blue,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",52.0,100.0,54.0,102.0,0.0,0.0,35.0,79.0,7.0,9.0,10.0,12.0,50.0,97.0,2.0,3.0,0.0,0.0,49.0,112.0,102.0,173.0,2.0,5.0,23.0,81.0,7.0,8.0,19.0,23.0,35.0,88.0,3.0,4.0,11.0,20.0
Jessica Penne,0,0,0,0.0,Emily Ducote,0,0,0,0.0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",63.0,244.0,68.0,249.0,0.0,8.0,37.0,208.0,26.0,36.0,0.0,0.0,55.0,234.0,8.0,10.0,0.0,0.0,116.0,205.0,117.0,206.0,0.0,0.0,41.0,113.0,24.0,34.0,51.0,58.0,115.0,203.0,1.0,2.0,0.0,0.0
Rafael Dos Anjos,0,0,0,6.22,Rafael Fiziev,1,0,0,2.98,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,5,0:18,2022-07-09,"Las Vegas, Nevada, USA",54.0,110.0,90.0,162.0,2.0,16.0,31.0,80.0,12.0,14.0,11.0,16.0,50.0,106.0,4.0,4.0,0.0,0.0,64.0,159.0,92.0,192.0,0.0,1.0,32.0,102.0,27.0,52.0,5.0,5.0,62.0,155.0,1.0,2.0,1.0,2.0
