R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Brian Ortega,0,22 of 35,62%,26 of 39,1 of 5,20%,0,0,2:24,18 of 30,3 of 3,1 of 2,15 of 27,7 of 8,0 of 0,Yair Rodriguez,0,23 of 46,50%,48 of 76,0 of 0,---,0,0,0:00,18 of 41,0 of 0,5 of 5,21 of 44,1 of 1,1 of 1,Blue,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,4:11
Michelle Waterson-Gomez,0,29 of 56,51%,35 of 62,1 of 2,50%,0,0,1:08,7 of 24,7 of 10,15 of 22,27 of 54,0 of 0,2 of 2,Amanda Lemos,0,20 of 35,57%,20 of 35,0 of 0,---,1,1,0:05,11 of 23,3 of 5,6 of 7,20 of 35,0 of 0,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,1:48
Li Jingliang,1,38 of 87,43%,40 of 91,1 of 2,50%,0,0,0:30,13 of 49,12 of 18,13 of 20,30 of 75,6 of 8,2 of 4,Muslim Salikhov,0,23 of 56,41%,33 of 67,1 of 4,25%,0,0,1:10,18 of 48,3 of 6,2 of 2,20 of 51,0 of 1,3 of 4,Red,Welterweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,4:38
Matt Schnell,0,47 of 81,58%,79 of 120,2 of 3,66%,2,1,2:40,36 of 70,5 of 5,6 of 6,16 of 40,9 of 12,22 of 29,Sumudaerji,1,58 of 83,69%,67 of 92,0 of 0,---,0,2,2:13,37 of 61,10 of 11,11 of 11,35 of 53,13 of 19,10 of 11,Red,Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,4:24
Shane Burgos,0,42 of 80,52%,67 of 116,2 of 7,28%,3,0,6:25,16 of 47,6 of 12,20 of 21,28 of 61,13 of 18,1 of 1,Charles Jourdain,0,113 of 188,60%,161 of 241,0 of 1,0%,0,0,2:08,72 of 145,36 of 37,5 of 6,68 of 133,41 of 51,4 of 4,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Majority,3,5:00
Lauren Murphy,0,102 of 184,55%,128 of 211,2 of 6,33%,0,0,1:18,77 of 154,24 of 29,1 of 1,68 of 142,31 of 39,3 of 3,Miesha Tate,0,85 of 164,51%,121 of 201,0 of 7,0%,0,0,2:05,61 of 122,18 of 34,6 of 8,67 of 138,18 of 26,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Punahele Soriano,1,17 of 35,48%,19 of 37,0 of 1,0%,0,0,0:04,8 of 25,9 of 10,0 of 0,9 of 26,4 of 5,4 of 4,Dalcha Lungiambula,0,11 of 22,50%,17 of 28,2 of 2,100%,0,0,1:39,6 of 16,2 of 3,3 of 3,9 of 18,0 of 2,2 of 2,Red,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,0:28
Ricky Simon,1,25 of 38,65%,46 of 59,2 of 8,25%,1,0,4:06,13 of 25,2 of 2,10 of 11,18 of 30,4 of 4,3 of 4,Jack Shore,0,19 of 44,43%,27 of 52,0 of 3,0%,0,0,0:13,15 of 40,4 of 4,0 of 0,17 of 42,2 of 2,0 of 0,Red,Bantamweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,3:28
Bill Algeo,0,28 of 36,77%,81 of 104,1 of 1,100%,0,0,5:26,21 of 28,6 of 7,1 of 1,2 of 4,2 of 2,24 of 30,Herbert Burns,0,10 of 12,83%,18 of 25,1 of 2,50%,2,0,0:32,6 of 8,4 of 4,0 of 0,1 of 1,3 of 3,6 of 8,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,1:50
Dustin Jacoby,1,14 of 23,60%,14 of 23,0 of 0,---,0,0,0:00,6 of 14,1 of 2,7 of 7,14 of 23,0 of 0,0 of 0,Da-Un Jung,0,14 of 39,35%,14 of 39,0 of 0,---,0,0,0:00,6 of 26,1 of 4,7 of 9,14 of 39,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,3:13
Dwight Grant,0,52 of 100,52%,54 of 102,0 of 0,---,0,0,0:00,35 of 79,7 of 9,10 of 12,50 of 97,2 of 3,0 of 0,Dustin Stoltzfus,0,49 of 112,43%,102 of 173,2 of 5,40%,0,0,4:17,23 of 81,7 of 8,19 of 23,35 of 88,3 of 4,11 of 20,Blue,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Jessica Penne,0,63 of 244,25%,68 of 249,0 of 8,0%,0,0,0:00,37 of 208,26 of 36,0 of 0,55 of 234,8 of 10,0 of 0,Emily Ducote,0,116 of 205,56%,117 of 206,0 of 0,---,0,0,0:00,41 of 113,24 of 34,51 of 58,115 of 203,1 of 2,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Rafael Dos Anjos,0,54 of 110,49%,90 of 162,2 of 16,12%,0,0,6:13,31 of 80,12 of 14,11 of 16,50 of 106,4 of 4,0 of 0,Rafael Fiziev,1,64 of 159,40%,92 of 192,0 of 1,0%,0,0,2:59,32 of 102,27 of 52,5 of 5,62 of 155,1 of 2,1 of 2,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,5,0:18
Caio Borralho,0,12 of 25,48%,49 of 83,4 of 5,80%,0,0,10:09,4 of 15,6 of 8,2 of 2,11 of 23,1 of 2,0 of 0,Armen Petrosyan,0,31 of 61,50%,72 of 132,0 of 0,---,0,1,1:19,2 of 19,3 of 9,26 of 33,16 of 40,0 of 0,15 of 21,Red,Middleweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Douglas Silva de Andrade,0,28 of 74,37%,44 of 95,1 of 1,100%,0,0,4:12,4 of 34,11 of 19,13 of 21,24 of 66,2 of 3,2 of 5,Said Nurmagomedov,0,42 of 97,43%,77 of 150,1 of 5,20%,0,0,0:22,21 of 69,12 of 18,9 of 10,39 of 89,3 of 8,0 of 0,Blue,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Jared Vanderaa,0,109 of 266,40%,109 of 267,0 of 0,---,0,0,0:00,76 of 224,18 of 25,15 of 17,108 of 265,1 of 1,0 of 0,Chase Sherman,1,137 of 235,58%,137 of 235,0 of 0,---,0,0,0:00,86 of 175,32 of 39,19 of 21,134 of 231,3 of 3,0 of 1,Blue,Heavyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,3,3:10
